Id,User_name,Screen_name,tweet_length,tweet_date,retweet_count,User_mentions,tweet_text,Url_text
1,सिद्धांत,sidhantjain15,75,2018-10-16,0,Rafale Gandhi,RT @RoflGandhi_: Sir @SrBachchan 's stand on #MeToo https://t.co/yUOWrfzFQX,http://donate.aamaadmiparty.org
2,तुलसीदास तोलानी,tuslidas,93,2018-10-16,0,Rohini Singh,RT @rohini_sgh: Why should adults be punished for consensual affairs? https://t.co/SZJIsgXFb0,
3,-,Abby_Rulz,69,2018-10-16,0,Nil,O madam.. unless you are into BDSM.. Abusive Relationship is a #MeToo,
4,Spooky Tow,tk_towhid,68,2018-10-16,0,Nil,This is what my female friends msg me #metoo https://t.co/FrcYlcvHts,https://www.instagram.com/tk_towhid1/
5,Secular Fringe,melwynm,77,2018-10-16,0,Nina,RT @NinaNabar: i discontinue being friends with anyone who jokes about #metoo,
6,Man In Desert,VacationRenter,99,2018-10-16,0,e. david,The latest The Man In Desert Daily! https://t.co/HuzeAUGZiR Thanks to @edavidellington #paid #metoo,https://www.facebook.com/GolfAndTennisVacationRentals
7,Heidi Bailey🇨🇦,DOTsGtGrandbaby,36,2018-10-16,0,Nil,"Yes, this more the company he keeps.",
8,Ruth D'Souza,RuthDSouza1,85,2018-10-16,0,Suhasini Haidar,RT @suhasinih: The 15th accuser of MoS MJ Akbar to go public. https://t.co/G5kmjKZiwY,
9,neelammanmohan 🇮🇳,neelamcrosscom,28,2018-10-16,0,Nil,I will reply in the evening.,
10,NEVER AGAIN,jonelstr,29,2018-10-16,0,Nil,This thread 👇🏻is so powerful!,
11,Quaker Nana,QuakerNana,42,2018-10-16,0,Tarana,Thank you @TaranaBurke  #MeTooOneYearLater,http://www.quakernana.com
